1,window2,3,0.666667,One Pair,320
2,window3,2,0.5,High Card,240
3,gaugau,56,0.464286,One Pair,440
4,test1,281,0.44484,Two Pair,1390
5,lmao,34,0.441176,One Pair,290
6,test2,283,0.424028,High Card,980
7,test3,91,0.340659,One Pair,320
8,haolam,65,0.292308,One Pair,100
9,anhtri,74,0.243243,High Card,210
10,lvminh,1,0,One Pair,190
11,htbtran,1,0,High Card,190
12,window1,3,0,High Card,120
13,hminh,1,0,High Card,190
14,meomeo,0,0,None,200
